be satisfied with	Hài lòng với	/bi ˈsætɪsfaɪd wɪθ/	Many of the customers surveyed said that they were satisfied with the facilities of the restaurant.	phrase	
customer	Khách hàng	/ˈkʌstəmər/	The chairman of the bank believes in the personal touch and always sends a signed letter to each customer.	n	
appreciation	Sự trân trọng, đánh giá cao	/əˌpriːʃiˈeɪʃn/	In appreciation of your loyalty with our clinic, we are pleased to invite you to our seminar next Sunday.	n	
aspect	Phương diện, khía cạnh	/ˈæspekt/	The service of this company was excellent in every aspect.	n	
benefit	Lợi ích	/ˈbenɪfɪt/	She has paid for a monthly subscription and now she's enjoying all the benefits of it.	n	
complaint	Lời than phiền, phàn nàn, việc phàn nàn	/kəmˈpleɪnt/	The most common complaint is about poor service.	n	
enhance	Nâng cao, làm tăng	/ɪnˈhæns/	We need to enhance the reputation of the company by improving the quality of service.	v	
equivalent to	Tương đương với	/ɪˈkwɪvələnt tə/	The food the airline serves in coach class is equivalent to that served in first class.	phrase	
hesitate	Do dự, ngần ngại, lưỡng lự	/ˈhezɪteɪt/	Please have patience with these temporary inconveniences and do not hesitate to contact me with any questions or concerns.	v	
make a recommendation	Đưa ra khuyến nghị, giới thiệu	/meɪk ə ˌrekəmenˈdeɪʃn/	We will review the case and make a recommendation to the client.	phrase	
decrease	Sự giảm đi, giảm sút	/dɪˈkriːs/	 There has been a significant decrease in the number of visitors to the historic site recently.	n	
