attribute to	Là do, gán cho, quy cho	/əˈtrɪbjuːt tə/	His success can be attributed largely to hard work.	phrV	
attribution	Sự quy cho, gán cho	/ˌætrɪˈbjuːʃn/	Attribution of her promotion solely to luck is not fair.	n	
dedication	Sự cống hiến	/ˌdedɪˈkeɪʃn/	The director gave a special thanks to staffs for their dedication and enthusiasm.	n	
recognition	Sự ghi nhận	/ˌrekəɡˈnɪʃn/	He was presented with a gold watch in recognition of his years as club secretary.	n	
advance	Tiến lên, tiến bộ	/ədˈvæns/	Technology is advancing at a rapid pace.	v	
assistance	Sự giúp đỡ	/əˈsɪstəns/	I respect Susan a lot thanks for her assistance with this crucial work.	n	
elect	Bầu chọn, lựa chọn	/ɪˈlekt/	She was recently elected as STI president.	v	
election commission	Ủy ban bầu cử	/ɪˈlekʃn kəˈmɪʃn/	The election commission found that neither candidate received enough votes to be a winner.	phrase	
encouragement	Sự khích lệ, động viên	/ɪnˈkɜːrɪdʒmənt/	Some companies use bonuses as an encouragement to their staff to work harder.	n	
faithful	Trung thành, chung thủy, trung thực	/ˈfeɪθfl/	She was rewarded for being faithful with the company for over 40 years.	adj	
promote	Quảng bá	/prəˈməʊt/	The area is being promoted as a tourist destination.	v	
technically	Về mặt kỹ thuật	/ˈteknɪkli/	He paid a big compliment to the suppliers and worker, since this is the most technically advanced car ever built in Thailand.	adv	
