human resources department	Bộ phận Nhân sự	/ˌhjuːmən rɪˈsɔːrsɪz dɪˈpɑːrtmənt/	I have been working for Human Resources Department of a multinational corporation for 5 years.	phrase	
achievement	Thành tựu	/əˈtʃivmənt/	It was a remarkable achievement for such a young man.	n	
attitude	Thái độ	/ˈætɪtuːd/	Because of his arrogant attitude, he has been fired by his boss.	n	
degree	Bằng cấp	/dɪˈɡriː/	Mr. Moore was born and raised in Bingham and received his engineering degree from Bingham University.	n	
devote to	Cống hiến cho	/dɪˈvəʊt tuː/	Planning for a diplomatic career, she's been intensely devoting herself to the study of foreign languages in college.	v	
graduate	Tốt nghiệp	/ˈɡrædʒueɪt/	I have recently graduated from a four-year university program with a degree in Marketing, therefore I would like to work in the field of marketing.	v	
skillful	Khéo léo, thành thạo, tài giỏi	/'skilfl/	This is a very skillful manipulation of narrative mode in a twenty-five year old writer just embarking on his literary career.	adj	
practical	Thực tế, thực tiễn	/ˈpræktɪkl/	It's all very well knowing things in theory but what you need to gain is practical experience.	adj	
status	Địa vị, thân phận	/ˈsteɪtəs/	The success of her book has given her unexpected celebrity status.	n	
typically	Một cách điển hình, tiêu biểu	/ˈtɪpɪkli/	High-flyers in the business typically earn 25% more than their colleagues.	adv	
respective	Tương ứng, riêng từng	/rɪˈspektɪv/	They are each recognized specialists in their respective fields.	adj	
considerable	Đáng cân nhắc, đáng kể	/kənˈsɪdərəbl/	Gymnastics is a sport that requires a considerable level of coordination.	adj	
