a glimpse of	Cái nhìn sơ qua, liếc qua	/ə ɡlɪmps ʌv/	This biography offers a few glimpses of his life before he became famous.	phrase	
agenda	Chương trình nghị sự, lịch trình họp	/əˈdʒendə/	The press reported that action to prevent the spread of the disease was high on the government's agenda.	n	
appeal	Hấp dẫn, thu hút	/əˈpiːl/	It's a TV program designed to appeal mainly to 16 to 25-year-olds.	v	
article	Bài báo	/ˈɑːrtɪkl/	I read an interesting article by a well-known scientist on the subject of genetics.	n	
impact	Sự tác động, ảnh hưởng	/ˈɪmpækt/	The story of the presidential scandal had a huge impact on the public.	n	
influence	Sự ảnh hưởng	/ˈɪnfluəns/	What is the influence of social media on children?	n	
layout	Bố cục, cách sắp xếp	/ˈleɪaʊt/	The page layout included plenty of white space.	n	
personalize	Cá nhân hóa	/ˈpɜːrsənəlaɪz/	The mass media tends to personalize politics.	v	
press	Báo chí, bài báo	/pres/	The event is bound to attract wide press coverage.	n	
publish	Xuất bản, công bố	/ˈpʌblɪʃ/	The press should be free to publish and comment on all aspects of political and social life.	v	
submit	Nộp	/səbˈmɪt/	To remain on schedule, editors must submit all revisions to the book to the authors by Friday.	v	
subscribe	Đăng ký, đóng tiền quyên tiền định kỳ	/səbˈskraɪb/	To read the full article, subscribe to the free National Geographic News.	v	
