a wide range of	Sự đa dạng nhiều loại	/ə waɪd reɪndʒ əv/	The hotel offers a wide range of facilities.	phrase	
accommodate	Cung cấp chỗ ở, có chỗ cho, chứa được	/əˈkɑːmədeɪt/	The hotel can accommodate up to 500 guests.	v	
accommodation	Chỗ ở	/əˌkɑːməˈdeɪʃn/	The accommodations at the hotel include swimming pool, gym, and restaurant.	n	
banquet	Bữa tiệc lớn, tiệc sang trọng	/ˈbæŋkwɪt/	A state banquet was held in honor of the visiting president.	n	
checkout	Sự trả phòng, quầy thu tiền (siêu thị, cửa hàng)	/ˈtʃekaʊt/	The hotel's extra benefits include late checkout.	n	
comfort	Sự thoải mái, sự xoa dịu, tiện nghi	/ˈkʌmfərt/	The hotel offers a high standard of comfort and service.	n	
complimentary	Được tặng miễn phí, có tính khen ngợi	/ˌkɑːmplɪˈmentri/	The hotel offers a complimentary breakfast and evening cocktails.	adj	
confirm	Xác nhận	/kənˈfɜːrm/	Please confirm your reservation at the latest 3 days in advance.	v	
entertainment	Sự giải trí, sự tiêu khiển	/ˌentərˈteɪnmənt/	In the past, there was no entertainment for children of guests at the hotel.	n	
occupy	Chiếm, cư trú, chiếm đóng	/ˈɑːkjupaɪ/	Every room in the hotel was occupied during the festival, so we had to change our schedule.	v	
reservation	Sự đặt trước	/ˌrezərˈveɪʃn/	I have to cancel my hotel reservation for family vacation as my son suddenly got ill.	n	
service	Sự phục vụ	/ˈsɜːrvɪs/	Mrs. Rockmont called room service to order a late-night snack.	n	
